No,Direction,Time_Scale,Frame_Type,Frame_Format,Frame_ID,Data_Length,ByteA,ByteB,ByteC,ByteD,ByteE,ByteF,ByteG,ByteH,,
,,,,,,,,,,,,,,
141,Receive,18:47:46:371,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
142,Receive,18:47:46:377,Data frame,Standard frame,307,8,01,00,00,03,00,00,00,00
143,Receive,18:47:46:381,Data frame,Standard frame,400,8,27,14,b4,ff,aa,64,64,04
144,Receive,18:47:46:384,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
145,Receive,18:47:46:388,Data frame,Standard frame,410,8,00,ff,19,19,ff,ff,ff,ff
146,Receive,18:47:46:393,Data frame,Standard frame,430,8,00,00,00,00,38,38,ff,0f
147,Receive,18:47:46:397,Data frame,Standard frame,440,8,0e,29,0e,29,00,00,00,00
148,Receive,18:47:46:401,Data frame,Standard frame,450,8,34,07,35,05,ff,0f,ff,0f
149,Receive,18:47:46:406,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
150,Receive,18:47:46:411,Data frame,Standard frame,460,8,00,00,a6,00,cd,01,4d,01
151,Receive,18:47:46:414,Data frame,Standard frame,461,8,00,32,ff,3f,38,38,aa,00
152,Receive,18:47:46:417,Data frame,Standard frame,422,8,00,04,00,10,20,00,04,0a
153,Receive,18:47:46:421,Data frame,Standard frame,423,8,00,00,00,00,00,00,00,00
154,Receive,18:47:46:425,Data frame,Standard frame,462,8,00,00,00,00,3a,00,00,00
155,Receive,18:47:46:429,Data frame,Standard frame,463,8,e8,03,e8,03,00,00,00,00
156,Receive,18:47:46:432,Data frame,Standard frame,464,8,53,ff,ff,ff,ff,73,19,19
157,Receive,18:47:46:435,Data frame,Standard frame,465,8,ff,ff,00,ff,ff,4e,4e,ff
158,Receive,18:47:46:439,Data frame,Standard frame,466,8,00,00,00,00,00,00,00,00
159,Receive,18:47:46:443,Data frame,Standard frame,468,8,00,00,00,00,00,00,00,00
160,Receive,18:47:46:447,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
161,Receive,18:47:46:451,Data frame,Standard frame,430,8,00,00,00,00,38,38,ff,0f
162,Receive,18:47:46:455,Data frame,Standard frame,440,8,0e,29,0e,29,00,00,00,00
163,Receive,18:47:46:459,Data frame,Standard frame,450,8,34,07,35,05,ff,0f,ff,0f
164,Receive,18:47:46:463,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
165,Receive,18:47:46:466,Data frame,Standard frame,251,8,1e,0a,00,00,00,00,00,00
166,Receive,18:47:46:470,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
167,Receive,18:47:46:474,Data frame,Standard frame,421,8,00,01,00,00,00,00,00,00
168,Receive,18:47:46:477,Data frame,Standard frame,400,8,27,14,b4,ff,aa,64,64,04
169,Receive,18:47:46:481,Data frame,Standard frame,430,8,00,00,00,00,38,38,ff,0f
