No,Direction,Time_Scale,Frame_Type,Frame_Format,Frame_ID,Data_Length,ByteA,ByteB,ByteC,ByteD,ByteE,ByteF,ByteG,ByteH,,
137,Receive,19:04:15:427,Data frame,Standard frame,251,8,7d,0a,00,00,00,00,00,00,,
138,Receive,19:04:15:433,Data frame,Standard frame,430,8,7e,32,0d,35,33,33,ff,0f,,
139,Receive,19:04:15:438,Data frame,Standard frame,440,8,82,13,4c,15,00,00,00,00,,
140,Receive,19:04:15:442,Data frame,Standard frame,450,8,48,07,b6,04,ff,0f,f8,0f,,
141,Receive,19:04:15:448,Data frame,Standard frame,201,8,00,00,00,00,00,00,8b,0b,,
142,Receive,19:04:15:454,Data frame,Standard frame,307,8,01,00,00,03,00,00,00,00,,
143,Receive,19:04:15:460,Data frame,Standard frame,400,8,27,14,b4,ff,28,64,64,00,,
144,Receive,19:04:15:467,Data frame,Standard frame,201,8,00,00,00,00,00,00,8b,0b,,
145,Receive,19:04:15:473,Data frame,Standard frame,460,8,8b,0b,a8,00,d2,01,2d,01,,
146,Receive,19:04:15:479,Data frame,Standard frame,461,8,00,32,ff,3f,33,33,28,00,,
147,Receive,19:04:15:485,Data frame,Standard frame,462,8,81,87,81,87,3a,00,00,00,,
148,Receive,19:04:15:490,Data frame,Standard frame,463,8,e8,03,e8,03,03,00,00,00,,
149,Receive,19:04:15:496,Data frame,Standard frame,464,8,4b,ff,ff,ff,ff,74,19,19,,
150,Receive,19:04:15:501,Data frame,Standard frame,465,8,b9,ff,00,ff,ff,4e,4e,ff,,
151,Receive,19:04:15:508,Data frame,Standard frame,466,8,00,00,00,00,00,00,00,00,,
152,Receive,19:04:15:514,Data frame,Standard frame,468,8,00,00,00,00,00,42,d9,3e,,
153,Receive,19:04:15:520,Data frame,Standard frame,410,8,00,ff,19,19,ff,b9,ff,ff,,
154,Receive,19:04:15:526,Data frame,Standard frame,430,8,7e,32,0d,35,33,33,ff,0f,,
155,Receive,19:04:15:531,Data frame,Standard frame,440,8,82,13,4c,15,00,00,00,00,,
156,Receive,19:04:15:541,Data frame,Standard frame,450,8,48,07,b4,04,ff,0f,f9,0f,,
